"Rainbow, Rainbow Palette"
"Rainbow, Party Palette"
"Rainbow, Ocean Palette"
"Rainbow, Lave Palette"
"Rainbow, Forest Palette"
Rainbow with Glitter
Confetti
"Shot, Red"
"Shot, Blue"
"Shot, White"
"Sinelon, Rainbow Palette"
"Sinelon, Party Palette"
"Sinelon, Ocean Palette"
"Sinelon, Lava Palette"
"Sinelon, Forest Palette"
"Beats per Minute, Rainbow Palette"
"Beats per Minute, Party Palette"
"Beats per Minute, Ocean Palette"
"Beats per Minute, Lava Palette"
"Beats per Minute, Forest Palette"
"Fire, Medium"
"Fire, Large"
"Twinkles, Rainbow Palette"
"Twinkles, Party Palette"
"Twinkles, Ocean Palette"
"Twinkles, Lava Palette"
"Twinkles, Forest Palette"
"Color Waves, Rainbow Palette"
"Color Waves, Party Palette"
"Color Waves, Ocean Palette"
"Color Waves, Lava Palette"
"Color Waves, Forest Palette"
"Larson Scanner, Red"
"Larson Scanner, Gray"
"Light Chase, Red"
"Light Chase, Blue"
"Light Chase, Gray"
"Heartbeat, Red"
"Heartbeat, Blue"
"Heartbeat, White"
"Heartbeat, Gray"
"Breath, Red"
"Breath, Blue"
"Breath, Gray"
"Strobe, Red"
"Strobe, Blue"
"Strobe, Gold"
"Strobe, White"
End to End Blend to Black
Larson Scanner
Light Chase
Heartbeat Slow
Heartbeat Medium
Heartbeat Fast
Breath Slow
Breath Fast
Shot
Strobe
End to End Blend to Black
Larson Scanner
Light Chase
Heartbeat Slow
Heartbeat Medium
Heartbeat Fast
Breath Slow
Breath Fast
Shot
Strobe
"Sparkle, Color 1 on Color 2"
"Sparkle, Color 2 on Color 1"
"Color Gradient, Color 1 and 2"
"Beats per Minute, Color 1 and 2"
"End to End Blend, Color 1 to 2"
End to End Blend
"Color 1 and Color 2 no blending(Setup Pattern)"
"Twinkles, Color 1 and 2"
"Color Waves, Color 1 and 2"
"Sinelon, Color 1 and 2"
Hot Pink
Dark red
Red
Red Orange
Orange
Gold
Yellow
Lawn Green
Lime
Dark Green
Green
Blue Green
Aqua
Sky Blue
Dark Blue
Blue
Blue Violet
Violet
White
Gray
Dark Gray
Black
